iter	Passed	Remaining
0	13	13397
1	25	12500
2	35	11913
3	49	12298
4	64	12745
5	85	14170
6	98	13945
7	111	13861
8	123	13601
9	137	13633
10	151	13650
11	165	13627
12	177	13512
13	193	13597
14	206	13543
15	215	13249
16	227	13147
17	238	13010
18	246	12708
19	261	12794
20	271	12662
21	284	12634
22	299	12734
23	316	12861
24	332	12968
25	344	12921
26	360	12999
27	379	13162
28	400	13396
29	416	13467
30	426	13331
31	437	13219
32	451	13236
33	463	13180
34	483	13318
35	494	13242
36	505	13158
37	518	13124
38	528	13023
39	543	13047
40	555	12994
41	568	12972
42	576	12834
43	592	12875
44	603	12809
45	618	12818
46	633	12835
47	649	12878
48	662	12866
49	674	12824
50	686	12769
51	695	12676
52	708	12668
53	721	12643
54	734	12625
55	745	12567
56	757	12526
57	771	12524
58	781	12466
59	794	12451
60	808	12438
61	818	12383
62	829	12339
63	842	12315
64	855	12303
65	867	12277
66	881	12281
67	897	12296
68	909	12270
69	919	12220
70	928	12151
71	941	12133
72	953	12109
73	967	12110
74	979	12085
75	994	12094
76	1005	12053
77	1015	11999
78	1027	11983
79	1042	11986
80	1056	11983
81	1064	11918
82	1077	11904
83	1087	11860
84	1098	11826
85	1114	11839
86	1133	11896
87	1146	11884
88	1161	11885
89	1177	11903
90	1190	11887
91	1204	11890
92	1216	11867
93	1237	11930
94	1249	11898
95	1263	11896
96	1279	11910
97	1290	11876
98	1302	11855
99	1316	11844
100	1327	11815
101	1341	11806
102	1352	11781
103	1365	11767
104	1378	11750
105	1393	11752
106	1409	11767
107	1423	11753
108	1433	11721
109	1444	11689
110	1456	11668
111	1471	11664
112	1483	11647
113	1499	11656
114	1510	11626
115	1523	11606
116	1535	11591
117	1547	11563
118	1557	11531
119	1578	11577
120	1589	11549
121	1599	11513
122	1611	11487
123	1620	11449
124	1632	11425
125	1645	11411
126	1656	11384
127	1671	11387
128	1682	11357
129	1693	11335
130	1707	11328
131	1722	11326
132	1733	113011133	1743	112671134	1755	112481135	1767	112261136	1776	11191137	1811	11317
138	1828	11325
139	1839	11297
1140	1833	111671141	1846	111551142	1863	111651143	1875	111461144	1888	111381145	1901	111221146	1908	110751147	1922	110641148	1934	110491149	1945	110231150	1953	10982151	1990	11102
152	2000	11072
153	2011	11052
154	2023	11032
155	2035	11015
156	2050	11011
157	2062	10991
158	2074	10973
159	2086	10955
160	2097	10931
1161	2093	108311162	2103	107991163	2118	107981164	2129	107741165	2147	107901166	2160	107751167	2175	107721168	2194	10792
169	2208	10783
170	2224	10784
171	2234	107551172	2248	107471173	2263	10744
174	2274	10722
175	2287	107111176	2307	10727
177	2324	10733
178	2338	10726
179	2352	10717
180	2365	10702
181	2376	10683
182	2390	10671
183	2404	10664
184	2416	10646
185	2432	10643
186	2447	10639
187	2463	10639
188	2474	10619
189	2485	10593
190	2498	10582
191	2514	10580
192	2525	10559
193	2539	10550
194	2554	10543
195	2567	10531
196	2583	10530
197	2595	10511
198	2605	10489
